epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,1220.89,0.50886,0.28266,0.90937,0.99159,1,0.995,0.60643,1.22459,0.43176,1.64025,0.00426552,0.00142184,0.00426552,0.00142184,0.00426552,0.00142184,0.00426552,0.00142184
75,1237.24,0.53643,0.30128,0.90989,0.99439,1,0.995,0.60929,1.26772,0.41067,1.70802,0.00424176,0.00141392,0.00424176,0.00141392,0.00424176,0.00141392,0.00424176,0.00141392
76,1253.55,0.54675,0.30076,0.90231,0.99196,1,0.995,0.59505,1.27484,0.40707,1.71445,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
77,1270.03,0.51978,0.28017,0.89487,0.9968,1,0.995,0.61743,1.26933,0.40517,1.70017,0.00419424,0.00139808,0.00419424,0.00139808,0.00419424,0.00139808,0.00419424,0.00139808
78,1286.44,0.51609,0.29162,0.8972,0.97588,1,0.99453,0.6112,1.28403,0.4076,1.70243,0.00417048,0.00139016,0.00417048,0.00139016,0.00417048,0.00139016,0.00417048,0.00139016
79,1302.46,0.51685,0.29412,0.91111,0.99752,0.97619,0.99453,0.61305,1.26857,0.40764,1.6993,0.00414672,0.00138224,0.00414672,0.00138224,0.00414672,0.00138224,0.00414672,0.00138224
80,1318.49,0.48433,0.29347,0.87226,1,0.99852,0.995,0.60678,1.29684,0.4294,1.73408,0.00412296,0.00137432,0.00412296,0.00137432,0.00412296,0.00137432,0.00412296,0.00137432
81,1334.65,0.52332,0.29865,0.90454,1,0.99891,0.995,0.6026,1.27626,0.43318,1.78258,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
82,1350.97,0.47776,0.26474,0.89069,1,0.99892,0.995,0.60965,1.24654,0.4338,1.74377,0.00407544,0.00135848,0.00407544,0.00135848,0.00407544,0.00135848,0.00407544,0.00135848
83,1367.24,0.50713,0.29085,0.89095,0.99659,1,0.995,0.6075,1.22865,0.41806,1.68737,0.00405168,0.00135056,0.00405168,0.00135056,0.00405168,0.00135056,0.00405168,0.00135056
84,1383.3,0.48628,0.27745,0.87848,1,0.99737,0.995,0.62143,1.2271,0.42278,1.65366,0.00402792,0.00134264,0.00402792,0.00134264,0.00402792,0.00134264,0.00402792,0.00134264
85,1399.34,0.50347,0.28472,0.90079,1,0.99781,0.995,0.62606,1.24644,0.39898,1.68577,0.00400416,0.00133472,0.00400416,0.00133472,0.00400416,0.00133472,0.00400416,0.00133472
86,1415.38,0.47509,0.28447,0.88011,1,0.99812,0.995,0.63287,1.25418,0.40159,1.69511,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
87,1431.43,0.48534,0.27896,0.89013,0.99615,1,0.995,0.63577,1.25084,0.40287,1.65794,0.00395664,0.00131888,0.00395664,0.00131888,0.00395664,0.00131888,0.00395664,0.00131888
88,1447.74,0.49155,0.27673,0.90286,1,0.9978,0.995,0.62528,1.25197,0.41391,1.68594,0.00393288,0.00131096,0.00393288,0.00131096,0.00393288,0.00131096,0.00393288,0.00131096
89,1464.47,0.4753,0.2805,0.8749,1,0.99645,0.995,0.63801,1.25198,0.41199,1.68822,0.00390912,0.00130304,0.00390912,0.00130304,0.00390912,0.00130304,0.00390912,0.00130304
90,1480.89,0.44135,0.26163,0.85536,1,0.99812,0.995,0.64183,1.22212,0.41764,1.67843,0.00388536,0.00129512,0.00388536,0.00129512,0.00388536,0.00129512,0.00388536,0.00129512
91,1496.82,0.46767,0.25568,0.87379,0.99839,0.97619,0.99453,0.64102,1.21851,0.4168,1.66132,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
92,1513.13,0.51567,0.31113,0.90827,0.99856,0.97619,0.99409,0.64513,1.22826,0.41825,1.65371,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928
93,1529.23,0.47685,0.26835,0.89758,0.99825,0.97619,0.9925,0.61848,1.25039,0.43059,1.68727,0.00381408,0.00127136,0.00381408,0.00127136,0.00381408,0.00127136,0.00381408,0.00127136
94,1545.29,0.50001,0.27371,0.89391,0.99778,0.97619,0.99453,0.62466,1.23417,0.41902,1.65525,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344
95,1561.2,0.47992,0.27463,0.88235,0.99823,0.97619,0.99409,0.62677,1.24504,0.42379,1.67001,0.00376656,0.00125552,0.00376656,0.00125552,0.00376656,0.00125552,0.00376656,0.00125552
96,1577.68,0.4512,0.28491,0.86667,0.97671,0.99874,0.99453,0.62935,1.24274,0.43052,1.66685,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
97,1594.17,0.45878,0.27681,0.86143,1,0.99759,0.995,0.61864,1.25752,0.41706,1.70585,0.00371904,0.00123968,0.00371904,0.00123968,0.00371904,0.00123968,0.00371904,0.00123968
98,1610.56,0.50271,0.27793,0.89634,0.99731,0.97619,0.99453,0.62544,1.25854,0.4238,1.66618,0.00369528,0.00123176,0.00369528,0.00123176,0.00369528,0.00123176,0.00369528,0.00123176
99,1626.65,0.43574,0.26082,0.86171,1,0.99866,0.995,0.63495,1.24558,0.4398,1.65066,0.00367152,0.00122384,0.00367152,0.00122384,0.00367152,0.00122384,0.00367152,0.00122384
100,1642.72,0.44432,0.25811,0.87023,0.97672,0.99891,0.99453,0.61672,1.24971,0.42509,1.68645,0.00364776,0.00121592,0.00364776,0.00121592,0.00364776,0.00121592,0.00364776,0.00121592
